userName,at,content,score,thumbsUpCount
Hussien Sayd,2024-04-20T03:06:24,يغلق البرنامج بشكل تلقائي عند الضغط على diary واضطر لمتابعة السعرات من خلال الموقع. ولكن التطبيق أسرع وأسهل. فى حالة نسيان الباسورد احيانا لا يصل البريد الإلكتروني أو يكون هناك خلل ف عملية تسجيل الدخول,5,156
Sa6am alharbi,2022-11-23T20:14:21,تطبيق أسطوري لكن يحتاج لتحديث للبيانات لأن الغالب انها قديمة وبتحتاج في كل مره تضيف وجبة انك تعدل على بيانات الوجبة اللي موجودة بالتطبيق وبأستطاعتك تعدل وتحفظها في خانت وجباتك المفضلة طبعاً عرفت بعد التخبيص بشكل كبير ،،,5,48
مستخدم Google,2020-01-15T14:51:00,تطبيق مفيد جدا ورائع… لقد غير حياتي للأفضل للذين يقولون انهم لا يستطيعون الدخول بالبريد الإلكتروني ف على الاغلب التطبيق لا يقبل الناس تحت عمر ال١٨… وللذين يقولون ان البرنامج لا يدعم اللغة العربية…يستطيعون ان يستعملوا اي تطبيق معجم للترجمة…,5,141
Daniah Aladhami,2023-08-07T10:16:53,التطبيق ممتاز جدا وانا استخدمه منذ عدة سنوات لكن هذه الفترة لا يقبل ادخال الاكل ولم اعرف ماهي المشكلة مسحت التطبيق واعدت تنزيله مرة اخرى ولا زالت المشكلة موجودة عندما اقوم بادخال الاكل يتم مسحه مباشرة اتمنى ان تقوموا بحل هذه المشكلة,5,74
Life ٠٠,2022-07-03T08:57:58,أجمل تطبيق الي اقدر احسب فيه الماكروز بدقة وله مميزات كثيرة الي عنده مشكلة ايقاف التطبيق كل ما دخل احذفه وارجع تنزيله وادخل بنفس الإيميل يشتغل معاك بدون ماتنحذف بياناتك,5,43
مستخدم Google,2019-04-15T10:31:47,برنامج اكثر من رائع بسيط وسهل ويمكن ربطة بسهولة بتطبيق Samsung Health وتسجيل القراءات من الساعة الذكية يتميز التطبيق بانه يدعم اللغة العربية في إدخال الوجبات وسوف تجد جميع الاكلات الشعبية فقط سجل الكمية وتابع الماكرو .. استخدمت التطبيق المجاني لمدة شهر وسوف اشترك في المدفوع لمدة سنة برنامج نزلت بفضل الله اولا ثم متابعة التطبيق ٤ كيلو ..التطبيق يستاهل وزنه ذهب شكرا لكم,5,286
شام سلفية الهوى,2022-08-17T11:54:38,اللي ما عم يقدر يشغل التطبيق يجرب يدخل الموقع على جوجل نفس الاسم ويدخل اذا اشتغل معناها المشكلة بالجوال ، الجوال إصداره قديم أنا بجوالي القديم بطل يشتغل وجربت كتير من غير فائدة لما غيرت الجوال اشتغل,5,43
محمد وائل,2024-04-18T22:47:38,هناك مشكله فى التطبيق فى Android يقوم البرنامج بالاغلاق بدون سبب عندما اقوم بالدخول على Diary ولكن على iPhone يعمل بشكل جيد وهذا بنفس البريد الإلكتروني !!! مع الأسف سوف أقوم بإزالة التطبيق ///تعديل تم حل المشكله بحذف الحساب نهائيا وإعاده التسجيل بنفس البريد الإلكتروني,5,50
SHAYKHAH,2023-12-01T10:56:11,البرنامج مفيد جداً اذا اشتركة في البرنامج بتلقى ميزات افضل بس عن نفسي مكتفيه بنسخه المجانيه و اشوفه حيل مفيد و يفك ازمه,5,33
Ra E,2020-05-20T02:53:03,البرنامج جدا مفيد وخدمني كثيرا ، لكن اواجه مشكله لا استطيع الرفع او شراء ال premium جهازي note 10 lite اتمنى ان اجد الحل ؟ وشكرا لكم,5,45
amazing* girl,2023-09-09T02:06:51,اول مرة اقيم حاجة بممتاز وخمس نجوم، البرنامج حلو واحلي ميزة انه في امكانية، قراءة الباركود ومعرفه المنتج والكالوريز اللي فيه وكمان فية معظم الاكلات اللي في الحياه بانواعها مع تحديد الكمية، وهو مش بس للتخسيس كمان للنحافة وللحفاظ علي الصحة انت بتختار برنامجك ونظامك، سواء خسارة او زيادة وزن او غيره بس العيب هو انه لو انت مش بتعرف English خاالص فبلاش تحمله لانك هتتعب اوي ممكن، تبحث عن حاجة بالعربي يارب اكون فيدتكم انصح بتحميله 😉👍,5,0
MR. Hajjaj,2020-06-01T22:37:01,يا جماعة الخير التطبيق اضع له كل تفاصيل كاملة لإنشاء الحساب وعند وصول النقطة USRname اضع له يوز يكتب لي رسال ان البرنامج غير قادر على Validat الاسم وبيقول حاول لاحقا وانا هي ثاني مرة احذف تطبيق وحمله ما العمل جوال نوعة سامسنج S3New ارجو الحل,5,6
Asmaa Samer,2020-05-14T17:45:02,التطبيق رائع جدااا بس اتمنى الاختيارات فى الاكل تكون دقيقه فى اشياء ممكن مبعرفش اوصلها ولكن هو ساعدنى كتير خسيت حوالى 14 كيلو,5,3
مستخدم Google,2018-09-18T03:57:40,البرنامج جميييل ولكن حذفته وجيت ارجعه تانى كتبلى هذا التطبيق ربما لا يعمل عل جهازك ارجو اصلاح هذه المشكله لانى بجد بحاجة لهذا البرنامج وشكرا,5,24
مستخدم Google,2019-08-17T17:07:30,هو برنامج رائع ولكن انا من عام 2006 ولا يمكنني التسجيل وأرجو أن يسمح لي بتسجيل الدخول,5,149
ali almalki,2024-02-11T14:55:50,برنامج مفيد لكل من يرغب في إنقاص وزنه بطريقة علمية دقيقة,5,9
Mohamed Husain,2024-12-16T19:55:09,تطبيق جميل بس لو يدعم اللغه العربيه افضل أتمنى ينزل تحديث باللغه العربيه قريبا,5,1
Karim Karoud,2021-09-06T15:46:44,تطبيق جميلة لكن لا يدعم اللغة العربية 😔,5,7
مستخدم Google,2019-07-22T10:36:59,برنامج روعة واستخدامه سهل ويتيح اضافة وتكوين اطعمة,5,60
Abdul Rahman Alhmdan,2025-04-22T00:49:50,جميل ولكن نحتاج لغة عربية داخل التطبيق,5,148
اال التن,2023-11-23T09:36:51,البرنامج مفيييد و رائع بس ما يدعم اللغه العربيه هذا هو عيبو الوحيد,5,10
Bashar Gharibou,2020-05-10T17:53:36,لا يوجد في هذا البرنامج اللغة العربية كيف علينا ان نتعامل مع هذا البرنامج ونحن لا نعلم اللغة الأنكليزية,5,346
علي محمد سالم,2020-08-14T16:03:25,البرنامج روعه جداً لو تضيفو اللغه العربيه,5,11
لاتفكر لها مدبر,2020-10-20T18:40:27,تطبيق ممتاز لمن يهتم بصحته سواء في زياده وزنك او نزوله,5,46
Zeinab,2021-05-05T23:51:57,تطبيق جميل ورائع... 💜ولكن يرجى تنزيل اللغة العربية من اجل الناس العرب كون التطبيق جميل ولديه شعبية كبيرة.... ☺️ومع ذلك أقيمة بخمس نجوم ☺️,5,5
Khtam Matar,2020-09-14T04:56:32,ممتاز جدا وسهل وبه اللغة العربية وانصح بيه,5,5
Fatima Aljarrah,2020-04-29T19:52:47,برنامج فااااااشل حاولت انشئ حساب بإستخدام أكثر من إيميل وما زبط ما بستاهل ولا نجمه,5,18
Waleed adjou,2022-06-04T01:34:30,نريد اللغة العربية في تطبيق,5,117
Ab _R,2020-12-15T20:55:53,جميل واذا تضيفو لغة عربية مرة راح يكون جامد,5,1
فووف,2020-12-26T21:18:08,هو جميل وممتاز بس ماعندي لغه تعبت من الترجمه شلون الغي اشتراكي؟,5,171
خديجه احمد,2021-06-27T09:08:52,جميل جدا وسهل وبسيط، كل شيء واضح 😍💕,5,19
مستخدم Google,2019-01-06T08:10:25,أفضل تطبيق للسعرات الحرارية الحمد لله بفضل من الله ثم بهالتطبيق نزل وزني مع رياضة ساعة يوميا.. عدد السعرات اليومية 1500,5,176
Feda'a AL,2021-09-18T16:55:10,رهيب يحسبلي السعرات بالضبط بس الشي السلبي طريقه اضافه اكل غير موجود بالتطبيق ما تشتغل يقهر,5,1
محمد الدرديري,2025-12-07T16:09:15,رهيب وراح اجربه الان,5,0
مستخدم Google,2019-08-29T11:39:17,يحتاج لإضافة اللغة العربية,5,53
Amoon Adel,2024-02-20T00:05:11,يساعدني على الاتزام تطبيق رائع وسلس,5,0
مستخدم Google,2019-09-10T05:32:30,جميل جميل جداً ومفيد في حساب السعرات. 🌷,5,6
Dk K,2025-12-29T22:38:38,التطبيق رائع جدا والله اني جربت جدا جدا مفيد,5,0
مستخدم Google,2019-07-03T05:31:54,التطبيق ممتاز مره واقدر احسب فيه سعراتي اللي احتاجها وخسرت وزن 12 كيلو منه الحمدلله اني عرفت هالتطبيق 😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚,5,26
محمد ق4يم,2024-03-05T17:16:46,برنامج رائع جدا ومفيد لتنظيم الحياة,5,0
مستخدم Google,2019-01-06T07:49:49,مفيد جدا لمن يرد اتباع نظام غذائي,5,22
مستخدم Google,2019-11-16T01:12:54,ممتاز الي مايعرف انكليزي يكدر يحمل ترجمه كوكل ويستفاد 🙂😛😘,5,2
tarek abdelgalil,2023-01-28T14:08:48,برنامج ممتاز بيحسب السعرات بدقه,5,0
Rehab Naruto,2023-06-13T14:17:30,تقدر تكتب لغة عربي في بحث الوجبات,5,1
مستخدم Google,2018-09-26T14:09:42,جيد جدا ولكن الإعلانات كثيرة,5,12
روزا روزا,2025-03-16T13:10:25,اول مرة اجربه لكنني اتمنى لو تتوفر اللغة العربية الرجاء ❤❤,5,92
ahmed asasey,2020-08-23T13:17:44,احسن برنامج ساعدنى ان اخسر وزن وكسب عضلات بحساب السعرات الحراريه,5,8
mohammed al,2021-05-24T09:26:39,حطو اللغة العربية التطبيق افضل تطبيق ف الوطن العربي وشكرا,5,57
تركي الجميلي,2025-12-20T12:24:53,تطبيق اسطوري خلاني احس بتطور,5,0
Zahra Alsaadi,2025-08-04T23:30:15,تطبيق جدا فخم و فعال 💪✌👌,5,11
مستخدم Google,2020-03-24T19:02:16,برنامج جميل بس لو فى عربى هيبا احسن,5,28
Nour Awni,2021-10-07T16:10:29,هل استطيع ان اضيف عدة اصناف في نفس الوقت,5,10
مستخدم Google,2020-01-16T13:41:30,تجربه رائعه روعه تستحق عشرة نجوم لا تكفي خمسة نجوم,5,2
Majed All,2024-04-11T21:26:03,البرنامج بعد التحديث يغلق تلقاي مااقدر استخدمة,5,3
سعيد,2021-04-24T14:05:07,كتير حلو بس محتاج لغه عربيه,5,94
مستخدم Google,2019-03-20T11:23:27,ي اخوان انا ما بيفتح معي التطبيق يقلي الايميل غلط او الرقم سري مع انو لمن اروح عن طريق قوقل بيفتح معي. شو الحل ؟ ومين بيصير معو هيك ؟,5,32
محمد غانم,2020-12-23T22:54:35,جميل وارجو ان يتوفر باللغه العربيه,5,54
مستخدم Google,2019-04-06T01:10:46,special one برنامج ممتاز ورائع,5,2
مستخدم Google,2019-08-01T11:50:53,رائعة جدا وسهلة وانا مبسوطة فيها,5,8
Ghimkn Mkn,2020-06-27T22:44:54,راااائع جدا بس مؤخرا واجهت مشكلة بعلق معي المرجو اصلاح ذلك,5,4
soma samsm,2021-06-15T02:51:28,بجد تحفه وبيساعد ان الوزن ينزل وبيوضح حقايق كتير عن اكلنا,5,10
مستخدم Google,2019-03-20T00:06:36,برنامج رائع ويوجد كل الاطعمه,5,3
مستخدم Google,2018-11-06T08:09:46,أفضل برنامج لتنظيم السعرات الحرارية والمحافظة على جسم متناسق شكرا جزيلا,5,29
Mohamad nour Ibrahim,2023-07-23T15:17:37,الرجاء أضافة اللغة العربية وشكراً لجهودكم,5,1
ilham ahdili,2020-05-26T22:54:27,تطبيق رائع اتمنى ان يكون خيار اللغة العربية,5,77
مستخدم Google,2019-11-13T16:19:38,لماذا لا يدعم الغه العربيه هاذه أهم شيئ في البرنامج,5,261
Abd Elrahman,2025-04-23T16:12:14,ممتاز جدا وان شاء الله هكمل معاه وهخس,5,0
Ahmed Allam,2023-09-04T12:12:35,ممتاز و صديق للرشاقة حقا,5,0
PIXEL0L,2024-01-19T16:23:43,ممتاز جدا تطبيق رائع و مفيد,5,0
مستخدم Google,2019-12-30T08:03:47,من أعظم التطبيقات التي عرفتها في حياتي شكرا لكم افادني بشكل لا يمكن تصوره thank you very much 🥰🥰,5,52
مستخدم Google,2019-05-08T21:14:07,ليش ما في باللغة العربية الفصحى أنا لا أفهم لغة الانجليزية 😭💔أني حزين جدأ،,5,13
مستخدم Google,2019-08-12T23:56:49,برنامج قمه الروعه انصح به,5,15
asdasd asdasd,2021-05-19T23:55:48,لازم يكون بلعربي اشو نحن فهمنا بلأنكليزي عملوا متلو بلعربي أغلب يلي منزلينو عرب,5,22
Muhammed X,2021-03-31T23:10:53,من افضل التطبيقات لحساب السعرات الحرارية يستهل اكتر من خمس نجوم😁,5,3
Youssef Ellahioui,2023-05-20T02:26:30,جميل و يساعد في تنمية صحتك,5,10
مستخدم Google,2018-10-24T11:52:38,ارجو ان يكون هناك لغة العربيه,5,10
مستخدم Google,2020-04-14T22:05:58,ممتاز بس نتمني يكون منه بلعربي,5,2
مستخدم Google,2020-01-02T05:09:18,رائع واكثر من هيك كتير بيسط,5,1
Bndr 90,2020-08-19T04:20:19,ممتاز ما استغنى عنه ممتاز,5,8
يوسف زكريا,2020-12-13T23:06:14,برنامج جميل جدا,5,4
abdulaziz abubaker,2023-09-05T04:56:58,تطبيق جميل جدا وسلس 🤍,5,1
AL3ntri officaiL,2020-10-20T00:06:32,ممتاز لاكنه بالانجليزية فقط,5,0
Mustafa Mustafa,2022-02-08T10:37:15,ممتاز جدا انصح به,5,2
Om Mahmood,2022-01-07T09:27:22,برنامج اكثر من رائع,5,14
مستخدم Google,2020-04-19T20:15:20,برنامج رائع جدا جدا,5,9
مستخدم Google,2019-06-11T01:30:52,أفضل برنامج على الإطلاق,5,5
Abdulaziz Faisal Mohammed Al-gumaei,2020-09-19T05:09:44,برنامج رهيب جداً,5,13
ammar ghaleb,2021-10-31T20:08:36,مفيد جدا جدا 👍🏻,5,3
abeer queen,2020-08-20T19:59:36,برنامج رائع جدا,5,9
مستخدم Google,2019-12-03T17:02:18,برنامج رائع جدا,5,11
مستخدم Google,2020-03-31T17:54:21,رائع، قاعدة بياناته عملاقة,5,9
Kaled Kaled,2022-06-12T01:33:49,جميل جدا ماشاء الله ♥,5,0
مستخدم Google,2019-12-13T18:28:13,برنامج ممتاز ما شاء الله,5,3
Fatma Adel,2024-09-04T01:36:02,رائع و مفيد,5,0
Hamoudi Oumar,2023-07-25T17:34:52,رائع 🤩جدا أنصح بتجربته,5,0
مستخدم Google,2019-07-17T11:40:41,فنان اتحدى في برنامج زيه او احسن منه ☹♥️,5,19
Adel Mohammed,2020-11-12T19:54:00,رائع جدآ جدآ ممتاااااااااز,5,0
Saad Mram,2020-11-13T07:28:01,قصصالتسلسلي انتلامتصاص لن تنط نمط بحجج بل بلاط ذ,5,1
Azdin Lgarhe,2021-01-07T19:19:10,ممكن اللغة العربية رجاء,5,3
مستخدم Google,2020-02-25T14:59:09,يغنيك عن اي خبير غذائي، تطبيق رائع,5,12
Rawan Alqahtani,2020-07-21T17:38:26,ممتاز جدا يخدم العربي و الانجليزي. لكن اول مرة تدخل الوزن يحسب لك بالفاصلة بعدها لازم تدخل رقم صحيح يا ليت تعدلوا هالنقطة,4,187
MOHAMED,2024-04-24T09:43:03,أصبح التطبيق يتم غلقه بدون سبب خاصة عند فتح my dairy رحاء حل المشكلة في اقرب فرصة فانا اعتمد عليه كثيراً في حساب سعراتي,4,1
Mohammed Al-abdulsalam,2023-11-19T21:49:31,التطبيق ممتاز ورائع ولكن توجد مشكلة عند محاولة الدخول إلى قسم الصيام المتقطع في التطبيق(يعلق و يخرجني من التطبيق ).,4,16
ali alshomari,2024-04-24T19:23:59,السلام عليكم ورحمة الله وبركاته بعد التحديث. وقبل التحديث المشكله يخرج لوحده. البرنامج,4,29
عايد العطوي,2020-12-02T12:39:01,جميل جدا ولكن اتمنى ان يتوفر باللغه العربيه في أقرب وقت,4,295
Abdulmalek,2021-07-23T18:33:16,ممتاز .. لكن ليته يدعم اللغة العربية,4,9
مستخدم Google,2019-12-05T18:19:18,تطبيق ممتاز انه الافضل لاكن يجب إضافة اللغة العربية 😔👌,4,12
Abeer,2024-03-05T17:13:35,التطبيق كان ممتاز لكن صار الباركود يتطلب اشتراك وهالشي مو حلو,4,13
أسلام محمد,2024-10-22T09:53:14,البرنامج ممتاز ولكن ارجو اضافه اللغه العربيه,4,1
مستخدم Google,2018-09-18T23:46:22,اخر تحديث م يشتغل عندي ابد قبل كنت ادخل عادي بس الحين شاشه بيضا بس ولا يطلع لي فيها اي شيء,4,28
Wisam Almoharb,2022-12-20T17:45:39,تطبيق ممتاز أعطيته 4 نجوم لأن لايتوفر فيه اللغة العربية,4,1
مستخدم Google,2020-02-25T14:07:13,ممتاز مره حصلت فيه مأكولات شعبية ما توقعتها بس لو يخلوة بالعربي بيكون احسن برنامج 🙄🙄 ارجو من المطورين العمل علي النسخه العربيه زي ما البحث في المأكولات بالعربي,4,7
Hanaa Alwadaani,2020-09-23T01:02:31,البرنامج رائع ناقصه لغه عربيه ويكتمل,4,19
Abdelrhman Ragab,2024-01-04T18:11:33,التطبيق ممتاز لكنهو يحتاج الي الغة العربية.,4,0
مستخدم Google,2019-01-07T22:27:50,تطبيق رائع ولكن نتمنى بأول تحديث إنه يدعم اللغة العربية,4,16
alma,2025-02-25T22:47:04,كيف يمكنني تحويل البرنامج للغة العربية؟ لا يمكنني تحويل البرنامج الى اللغة العربية ارجوا المساعدة,4,217
Ruviis,2020-11-22T09:24:57,مره جيد وكويس لولا ان ما يعرضلك نسخه البريميوم دايم بيصير جدا جميل,4,2
Ghaith AL Hussin,2021-04-16T03:42:57,التطبيق رائع ولكن أرجو إضافة اللغة العربية,4,187
مستخدم Google,2019-06-23T01:32:34,ينقصه تعريب الاعدادات فقط,4,19
renad asharf,2022-02-25T15:11:29,ليش ما في ميزه بالعربي عشان الكل يستفيد,4,81
KH. MOMEN,2020-12-16T02:04:34,جميل ويجب أن تضاف اللغه العربيه,4,34
مستخدم Google,2019-10-20T12:12:17,كان رح يكون ممتاز لو صار نسخة عربية منه,4,0
خالد السلامي,2023-08-10T04:05:16,اتمنى ان تضيفوا اللغة العربية,4,0
Sameh abd elmenem,2021-03-22T02:36:09,ياريت يا جماعه نراسل الشركه صاحبة البرنامج ونطالبها بإضافة اللغه العربيه البرنامج لأن عددنا كبير,4,2
مستخدم Google,2019-09-01T15:50:15,نرجو اضافة اللغة العربية للبرنامج,4,257
مستخدم Google,2019-01-19T13:05:58,البرنامج ممتاز لاكن ليس دقيق,4,4
amir,2021-04-30T23:59:47,ممتاز لكن عربي مو موجودة,4,50
عزان المشيفري,2021-01-06T21:12:29,نرغب بإضافة اللغة العربية,4,3
مستخدم Google,2019-02-01T20:56:13,رائع لاكن لماذا ليس هناك لغه عربيه ؟ الرجاء النظر لهذه الموضوع وعمل لغه عربيه,4,12
Tahaziglali Taga,2024-08-07T04:22:33,تطبيق حلو وجيد ونريد لغه عربيه واتمنى ان تلبو طلبي,4,1
hada bassam,2021-05-08T14:12:46,تطبيق سهل الاستعمال ومفيد,4,9
مستخدم Google,2019-01-07T11:33:18,ياريت يكون ف لغه عربيه يكون اروع,4,5
Olap,2024-12-15T13:41:41,حلو بس تكفوون ادعمو اللغه العربيه,4,153
نمنم,2023-04-17T18:56:16,رجائا إضافة اللغه العربيه لان اكثر المستخدمون من العرب,4,1
Haya,2022-01-13T19:38:24,اتمنى يكون فيه عربي وربي لو يحطون بيكون مره مره حلو,4,3
R A V A,2024-11-04T16:17:17,احسن تطبيق حساب سعرات مافيه احسن منه,4,0
k A,2024-04-05T12:36:24,نتمنى اضافة اللغه العربيه🥺,4,0
محمد سند,2021-02-08T22:10:14,البرنامج ده جميل ورائع 🤩🤩,4,1
بدور ناصر,2024-04-24T14:20:48,فيه مشكله في التطبيق عند إضافة الوجيات,4,0
Lod,2020-08-23T17:46:09,أحلى تطبيق جربته يحسب السعرات,4,7
Mohamad Saber,2023-07-10T21:33:55,برجاء إضافة اللغة العربية,4,0
مستخدم Google,2019-09-22T23:19:37,لا يدعم العربية,4,7
كوشي انا,2021-01-14T11:58:07,ممتاز وارجو دعم العربية,4,1
Mahmoud Abo Erag,2022-06-26T14:42:01,نحتاج لغه عربيه,4,0
imane Queen 369,2020-06-03T14:24:18,مايحب يشتغل عندي ليه لما ادخل المعلومات بيقول هي غلط,4,2
احمد حسين,2021-05-11T00:22:31,الغة العربية غي متوفرة,4,22
مستخدم Google,2019-12-04T09:48:41,إضافة اللغة العربية ارجوكم,4,10
عبده سالم ارزخي,2021-03-27T18:48:33,كل جميل جيد,4,0
shrouk Elnser,2024-11-23T16:01:17,عايزة اخلى كله عربى هل دا متاح ؟,4,0
Mohmed Saa3d,2022-12-09T18:53:00,ارجو ان يكون بالعربي,4,0
مستخدم Google,2019-03-31T14:22:49,جيد نوعا ما,4,8
جعفر الجنزوري,2025-10-17T10:05:46,جيد جداً,4,1
Ibrahim Khaladi,2024-11-01T12:42:32,تطبيق جيد,4,0
aya Mohamad,2024-01-22T12:25:43,جميل,4,0
Kholoud Mohammed,2022-04-19T20:08:33,Nice,4,1
REVENGER,2020-11-10T13:54:50,جميل👍😁,4,0
MR / H e SH a M,2020-09-22T16:40:23,So Fitness,4,1
Al-Hussain Al-shami,2020-06-23T21:43:13,"Alles ist perfekt. Aber es gibt nur einen Weg, um zu bezahlen, und das ist sehr schlecht",4,0
Ahmed Nashat,2020-06-18T11:50:23,تطبيق جيد,4,0
مستخدم Google,2020-02-03T01:56:25,premium not open???,4,1
مستخدم Google,2019-12-01T13:03:03,I hope you add Arabic language,4,1
مستخدم Google,2019-01-10T09:26:01,There is a unknown error when I want to photograph the food code,4,49
مستخدم Google,2018-12-28T13:51:23,"hello MyFitnessPal thanks for this amazing program,but please add arabic language,because its very difficult for us to unterstand many things here, ps:imane",4,23
مستخدم Google,2018-11-26T05:58:16,I will try for few days then advise.,4,31
مستخدم Google,2018-09-04T04:24:19,جميييل جدااا لاكن لو يترجم عربي,4,31
مستخدم Google,2018-09-07T01:24:08,جيد جدا,4,11
مستخدم Google,2018-09-01T17:11:37,Please add arabic language .,4,20
مستخدم Google,2018-08-14T18:52:33,Good,4,5
مستخدم Google,2018-06-06T05:45:36,"سيكون التطبيق أروع عند إضافة اللغة العربية إليه،es wäre besser, wenn Sie 
die arabische Sprache hinzufügen könnten ,vielen Dank im voraus",4,52
مستخدم Google,2018-05-12T20:03:03,"برنامج جميل اتمنى انه يوجد لغة عربيه / لكنه سهل ان كنت تجيد القليل من 
الانقليزيه",4,46
مستخدم Google,2018-05-09T11:51:16,Vary useful and good but we need arabic language please,4,27
مستخدم Google,2018-02-15T03:26:31,ارجو إضافة اللغه العربيه,4,28
مستخدم Google,2018-01-13T20:28:06,مشان الله اللغة العربية اللغة العربية,4,14
مستخدم Google,2017-11-14T01:23:22,ممتاز جداً لكن التطبيق بحاجه الى إضافة اللغة العربية,4,14
مستخدم Google,2017-12-06T10:22:35,بدون اشتراك ما بيخدم,4,5
مستخدم Google,2017-09-17T16:32:13,ياريت التطبيق يبقى بالعربى والانجليزى عشان يسهل للكل استخدامه,4,7
مستخدم Google,2017-09-16T12:12:09,ياريت يكون في لغة عربية قريباً,4,6
